epoch,acc,dice_coef,iou,loss,lr,precision_5,recall_5,val_acc,val_dice_coef,val_iou,val_loss,val_precision_5,val_recall_5
0,0.9922357201576233,0.14370079338550568,0.002240769099444151,0.1560264676809311,0.001,0.011313228867948055,0.04232744127511978,0.9984936118125916,0.0823291763663292,0.00211503473110497,0.08544011414051056,0.0,0.0
1,0.998231828212738,0.036524876952171326,0.0038401829078793526,0.03802832216024399,0.001,0.0,0.0,0.9986818432807922,0.024377021938562393,0.0025747499894350767,0.027397889643907547,0.0,0.0
2,0.998237669467926,0.022319529205560684,0.009153689257800579,0.01906043291091919,0.001,0.767471432685852,0.005145987495779991,0.9986818432807922,0.012192747555673122,0.006646066904067993,0.013897069729864597,0.0,0.0
3,0.9983044862747192,0.046482328325510025,0.0343308225274086,0.011988847516477108,0.001,0.6201761364936829,0.12704609334468842,0.9989846348762512,0.1204589381814003,0.04330950975418091,0.010137300007045269,0.6164771318435669,0.6078755855560303
4,0.9985987544059753,0.09500238299369812,0.07681616395711899,0.00818374939262867,0.001,0.700797975063324,0.3557082712650299,0.9715483784675598,0.6012584567070007,0.024834830313920975,0.05651552230119705,0.03934820741415024,0.8791276812553406
5,0.9988969564437866,0.16423195600509644,0.13334237039089203,0.006041691172868013,0.001,0.770859956741333,0.5299170613288879,0.9991636872291565,0.1258426159620285,0.07852200418710709,0.004825677257031202,0.71556556224823,0.6067386865615845
6,0.9991152882575989,0.22646555304527283,0.18049001693725586,0.004535249434411526,0.001,0.7881669402122498,0.6451368927955627,0.9896571040153503,0.42187029123306274,0.04537682607769966,0.02230696566402912,0.1082262322306633,0.9456358551979065
7,0.9991934895515442,0.2820797860622406,0.2289213240146637,0.0037961388006806374,0.001,0.8238113522529602,0.6929453611373901,0.998687744140625,0.007446840405464172,0.007523487787693739,0.007736849598586559,0.9677419066429138,0.004650922492146492
8,0.9992643594741821,0.3172215521335602,0.25543010234832764,0.003258482087403536,0.001,0.8366739749908447,0.7127991914749146,0.9995050430297852,0.1436753123998642,0.12213851511478424,0.002729840110987425,0.9274244904518127,0.6775360703468323
9,0.9994074702262878,0.37668731808662415,0.30856117606163025,0.002593838842585683,0.001,0.8636166453361511,0.774635374546051,0.9993793368339539,0.20733629167079926,0.14333923161029816,0.002578091574832797,0.7692469358444214,0.7559299468994141
10,0.9995118379592896,0.4257413148880005,0.35959842801094055,0.002090310677886009,0.001,0.8913658857345581,0.8231440186500549,0.9994404911994934,0.2566814124584198,0.16731444001197815,0.0022110315039753914,0.7585070133209229,0.8443491458892822
11,0.9995083808898926,0.44482725858688354,0.37049025297164917,0.0019726294558495283,0.001,0.88581782579422,0.8181309700012207,0.9995530247688293,0.20183062553405762,0.16535761952400208,0.0019042950589209795,0.8941140174865723,0.7496770024299622
12,0.9995513558387756,0.4876965880393982,0.4123406708240509,0.0017114925431087613,0.001,0.9017097353935242,0.8416146636009216,0.9991282224655151,0.28403815627098083,0.15980325639247894,0.0028124377131462097,0.6148238778114319,0.9066197872161865
13,0.9994004368782043,0.4640125632286072,0.3763134479522705,0.0020850664004683495,0.001,0.8634347915649414,0.7791423797607422,0.9987483024597168,0.05421000346541405,0.03535180538892746,0.005961588583886623,0.9959349632263184,0.050643377006053925
14,0.9995753169059753,0.5318790078163147,0.4477705955505371,0.0015176677843555808,0.001,0.9071171879768372,0.8528578877449036,0.9993629455566406,0.19124460220336914,0.13759572803974152,0.002653952920809388,0.9832769632339478,0.525657594203949
15,0.9996073246002197,0.5424559712409973,0.4588727355003357,0.0013748931232839823,0.001,0.9091451168060303,0.8613979816436768,0.9986818432807922,0.00048520122072659433,0.0006294004851952195,0.010317201726138592,0.0,0.0
16,0.9994957447052002,0.5267757177352905,0.43236851692199707,0.0017900405218824744,0.001,0.8910775780677795,0.8141725659370422,0.9983853101730347,0.2656506597995758,0.09235960245132446,0.005900948774069548,0.4425770938396454,0.8668802380561829
17,0.999609112739563,0.5655297636985779,0.47722938656806946,0.0013136755442246795,0.001,0.9119101762771606,0.8657548427581787,0.9996352791786194,0.2552975118160248,0.20285367965698242,0.0013858509482815862,0.9286457896232605,0.7835254073143005
