epoch,acc,dice_coef,iou,loss,lr,precision_1,recall_1,val_acc,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.9947379231452942,0.048031289130449295,0.013001766987144947,0.016220923513174057,0.001,9.981215043808334e-06,1.9906914531020448e-05,0.9984937310218811,0.062055137008428574,0.011859470047056675,0.007654739078134298,0.0,0.0
1,0.9981974959373474,0.0394173264503479,0.010747373104095459,0.00836415495723486,0.001,0.0,0.0,0.9988359808921814,0.053470343351364136,0.011747948825359344,0.00575262913480401,0.0,0.0
2,0.9983590245246887,0.03962041065096855,0.010217813774943352,0.007388182450085878,0.001,0.04648187756538391,0.0012267590500414371,0.9988359808921814,0.032245904207229614,0.009516233578324318,0.005180570762604475,0.0,0.0
3,0.9984307885169983,0.0400427021086216,0.009987404569983482,0.007218591403216124,0.001,0.13333334028720856,2.299141306139063e-05,0.9988359808921814,0.0573677122592926,0.011015322059392929,0.006070919334888458,0.0,0.0
4,0.9983183145523071,0.04624893143773079,0.013802512548863888,0.007442209403961897,0.001,0.20207254588603973,0.0021047177724540234,0.9988359808921814,0.03350399062037468,0.007623824756592512,0.00539194792509079,0.0,0.0
5,0.9983873963356018,0.04971447214484215,0.015940872952342033,0.006804133765399456,0.001,0.23863428831100464,0.015101620927453041,0.9988359808921814,0.11346461623907089,0.008373172022402287,0.007970582693815231,0.0,0.0
6,0.9980959296226501,0.059685830026865005,0.020048310980200768,0.007845448330044746,0.001,0.469480037689209,0.023680560290813446,0.9988359808921814,0.0652608871459961,0.010653626173734665,0.0062606059946119785,0.0,0.0
7,0.9982067346572876,0.07522845268249512,0.02359764650464058,0.007174857892096043,0.001,0.5598583221435547,0.04564604535698891,0.9988359808921814,0.05265887826681137,0.007926365360617638,0.006057645194232464,0.0,0.0
8,0.9982536435127258,0.08296129107475281,0.02857181243598461,0.007131989113986492,0.001,0.5960965156555176,0.10191725194454193,0.9988503456115723,0.0515357069671154,0.024668946862220764,0.004364541731774807,0.5783848166465759,0.045601386576890945
9,0.9985438585281372,0.07726655900478363,0.03219020366668701,0.005903672426939011,0.001,0.7086373567581177,0.14922894537448883,0.9988278150558472,0.036284107714891434,0.007887964136898518,0.00539666973054409,0.0,0.0
10,0.9982041716575623,0.10036523640155792,0.04169929027557373,0.007091285660862923,0.001,0.5884820818901062,0.11427851021289825,0.9849115610122681,0.4519731104373932,0.013081004843115807,0.027798423543572426,0.023820705711841583,0.2992181181907654
11,0.9986040592193604,0.0945357158780098,0.038294725120067596,0.0055005839094519615,0.001,0.6394957304000854,0.17661085724830627,0.9987154006958008,0.22838094830513,0.03932733088731766,0.010387439280748367,0.4570430815219879,0.5514302849769592
12,0.9985266327857971,0.10489136725664139,0.04201492294669151,0.005351442378014326,0.001,0.5970667004585266,0.1579045206308365,0.9988381266593933,0.02444586157798767,0.012026304379105568,0.004777939524501562,0.9534883499145508,0.0019195654895156622
13,0.9986283183097839,0.10563290119171143,0.04082324355840683,0.0051899622194468975,0.001,0.6333770155906677,0.16555553674697876,0.9990576505661011,0.11254675686359406,0.03522707521915436,0.005768621806055307,0.7800578474998474,0.26518094539642334
14,0.9984860420227051,0.1520366668701172,0.0698070302605629,0.005250194109976292,0.001,0.7065758109092712,0.24629110097885132,0.9988863468170166,0.06045125424861908,0.03167460858821869,0.003989873453974724,0.7449522018432617,0.06563977897167206
15,0.9983493089675903,0.11703033000230789,0.047508664429187775,0.006207114551216364,0.001,0.5750834345817566,0.13093027472496033,0.9989547729492188,0.07494725286960602,0.041302893310785294,0.0038276633713394403,0.7408799529075623,0.15688936412334442
16,0.9985724091529846,0.1314275711774826,0.06022348627448082,0.004977904260158539,0.001,0.667603075504303,0.228549063205719,0.9990636706352234,0.10992486029863358,0.04934791475534439,0.0039325193502008915,0.7870001196861267,0.2681305408477783
17,0.9984704852104187,0.19618885219097137,0.0900944247841835,0.005289945751428604,0.001,0.7273134589195251,0.2835276424884796,0.9989689588546753,0.1321166753768921,0.03272747993469238,0.005913103464990854,0.7601279020309448,0.16690856218338013
18,0.9985430836677551,0.18094788491725922,0.07782182097434998,0.004729720298200846,0.001,0.7162840366363525,0.2465469092130661,0.9925434589385986,0.3969736397266388,0.031200367957353592,0.020666854456067085,0.09769626706838608,0.6563977599143982
19,0.9986456036567688,0.17272070050239563,0.08284543454647064,0.004340106621384621,0.001,0.7070836424827576,0.28720623254776,0.9764081835746765,0.5849751830101013,0.027994517236948013,0.0444776825606823,0.04574242979288101,0.970129668712616
20,0.9987655282020569,0.2082490175962448,0.10020514577627182,0.0036564881447702646,0.001,0.7943346500396729,0.3426046073436737,0.9987592697143555,0.25986218452453613,0.05818710848689079,0.004868416115641594,0.46896064281463623,0.49833792448043823
21,0.9988287091255188,0.20625954866409302,0.1014712005853653,0.0037339709233492613,0.001,0.7842539548873901,0.37296271324157715,0.9653813242912292,0.707850992679596,0.022095896303653717,0.07322720438241959,0.03134986385703087,0.9613277912139893
22,0.9984397888183594,0.20518599450588226,0.09894963353872299,0.004619547165930271,0.001,0.6961987614631653,0.29467108845710754,0.9988357424736023,0.07182750850915909,1.0776630915643182e-05,0.08488570898771286,0.0,0.0
23,0.9987644553184509,0.2450350522994995,0.12100926041603088,0.003371984465047717,0.001,0.7838805913925171,0.42165669798851013,0.9990225434303284,0.2513035237789154,0.0842636451125145,0.0039019447285681963,0.5601223707199097,0.7458682656288147
24,0.9987494349479675,0.2801835834980011,0.14684602618217468,0.0034210747107863426,0.001,0.7690954208374023,0.513199508190155,0.997235119342804,0.34837737679481506,0.07617168128490448,0.006062038242816925,0.26987186074256897,0.8065452575683594
25,0.9989640116691589,0.24467505514621735,0.12865029275417328,0.002846966963261366,0.001,0.7687485814094543,0.5654938817024231,0.9883372783660889,0.5577561259269714,0.04487280175089836,0.022124389186501503,0.08432513475418091,0.9148836731910706
26,0.9992613792419434,0.24967071413993835,0.14757005870342255,0.0022227156441658735,0.000100000005,0.8383675217628479,0.6591352820396423,0.9990754127502441,0.2490488886833191,0.12938103079795837,0.0023147729225456715,0.5791997313499451,0.7522355914115906
27,0.9993734359741211,0.29919853806495667,0.1928059160709381,0.001852779765613377,0.000100000005,0.8565918803215027,0.7775748372077942,0.9990665912628174,0.26090267300605774,0.1364866942167282,0.0022608996368944645,0.5755789279937744,0.7541083097457886
28,0.9993902444839478,0.2975741922855377,0.19022656977176666,0.0017440191004425287,0.000100000005,0.8668229579925537,0.7683178782463074,0.998137354850769,0.36751413345336914,0.10425528883934021,0.004711177200078964,0.367985337972641,0.8366028666496277
29,0.9994245767593384,0.33195334672927856,0.21538269519805908,0.0016277431277558208,0.000100000005,0.8673417568206787,0.7988442778587341,0.9984574317932129,0.3300120532512665,0.12598010897636414,0.00395591976121068,0.41973140835762024,0.8501334190368652
30,0.9994024038314819,0.3345310389995575,0.2190854251384735,0.0016658857930451632,0.000100000005,0.859764039516449,0.7874431610107422,0.9988163709640503,0.3154962360858917,0.14807385206222534,0.003112236736342311,0.4951685667037964,0.8637108206748962
31,0.9994959235191345,0.30770567059516907,0.19710807502269745,0.0014707704540342093,0.000100000005,0.8722512125968933,0.7861707806587219,0.9977383017539978,0.4014936685562134,0.11159184575080872,0.006431723944842815,0.33222830295562744,0.9337047338485718
32,0.999514102935791,0.31602558493614197,0.21426883339881897,0.001388542470522225,0.000100000005,0.8847511410713196,0.8278616070747375,0.9987446665763855,0.3385532796382904,0.1541503518819809,0.0034341630525887012,0.478642076253891,0.8792546391487122
33,0.9993730783462524,0.37125474214553833,0.24969525635242462,0.0017275395803153515,0.000100000005,0.8737408518791199,0.8293410539627075,0.9990277886390686,0.3138323128223419,0.1628171056509018,0.0026578246615827084,0.555328369140625,0.8265836238861084
34,0.9995569586753845,0.2949266731739044,0.19353336095809937,0.0012751728063449264,0.000100000005,0.8808514475822449,0.8301849961280823,0.9988446831703186,0.3464605212211609,0.1667069047689438,0.0031188384164124727,0.5020772218704224,0.8940025568008423
35,0.9995316863059998,0.3271152079105377,0.22578509151935577,0.0013491885038092732,0.000100000005,0.8881096243858337,0.82441246509552,0.9988591074943542,0.3383933901786804,0.15567082166671753,0.003054423490539193,0.5056743025779724,0.8782714605331421
36,0.9995319843292236,0.3614189326763153,0.25354546308517456,0.001325030461885035,0.000100000005,0.891041100025177,0.84720379114151,0.9990911483764648,0.33110156655311584,0.17070099711418152,0.0026545922737568617,0.5743700265884399,0.8462942838668823
37,0.9995259046554565,0.34673011302948,0.23803283274173737,0.001339619280770421,1.0000001e-05,0.8865647315979004,0.8471686840057373,0.9991185069084167,0.34220650792121887,0.179661825299263,0.0025135749019682407,0.5821524858474731,0.859778106212616
38,0.9995748996734619,0.3582391142845154,0.26097914576530457,0.001234686584211886,1.0000001e-05,0.9089131355285645,0.8660485744476318,0.9990838170051575,0.3417121469974518,0.17765355110168457,0.002583808032795787,0.5701159238815308,0.8656772375106812
39,0.9995394349098206,0.36507663130760193,0.25823575258255005,0.001322991563938558,1.0000001e-05,0.9001409411430359,0.8628352880477905,0.9989657998085022,0.3558099865913391,0.1769098937511444,0.0029883449897170067,0.5334682464599609,0.888805627822876
40,0.9995967745780945,0.3437962830066681,0.2430686354637146,0.0011874381452798843,1.0000001e-05,0.9033142328262329,0.8546942472457886,0.9992240071296692,0.33932816982269287,0.18423424661159515,0.002139721065759659,0.6223865151405334,0.8473711609840393
41,0.9995771050453186,0.3407144546508789,0.24167121946811676,0.0012278591748327017,1.0000001e-05,0.898014485836029,0.8542007207870483,0.9992246627807617,0.33935102820396423,0.18377511203289032,0.0021436787210404873,0.6231523752212524,0.8447961211204529
42,0.9995858073234558,0.35395124554634094,0.2548210620880127,0.0011806252878159285,1.0000001e-05,0.9084826111793518,0.852191686630249,0.9991683959960938,0.3488178551197052,0.18330121040344238,0.0023146059829741716,0.5995950698852539,0.8596844673156738
43,0.9996080994606018,0.3484301269054413,0.244013249874115,0.001141841639764607,1.0000001e-05,0.9086334109306335,0.8553007245063782,0.9987152218818665,0.38204941153526306,0.16141705214977264,0.003792544361203909,0.4731864333152771,0.9158668518066406
44,0.9996342062950134,0.3544442355632782,0.25572219491004944,0.0010279666166752577,1.0000001e-05,0.908879280090332,0.8753405213356018,0.9989247918128967,0.373196005821228,0.17551572620868683,0.0031214512418955564,0.5222437381744385,0.8953134417533875
45,0.9995765089988708,0.321990430355072,0.22063708305358887,0.0012160822516307235,1.0000001e-05,0.8857801556587219,0.8361031413078308,0.9988908767700195,0.3722047209739685,0.17466075718402863,0.003266759216785431,0.5134599804878235,0.8983566761016846
46,0.999556839466095,0.3725734055042267,0.27160364389419556,0.0012377636739984155,1.0000001e-05,0.9010775685310364,0.8607887029647827,0.9990727305412292,0.36189764738082886,0.18403945863246918,0.0026549361646175385,0.5658604502677917,0.8741046190261841
47,0.9996086955070496,0.3681279718875885,0.2601836323738098,0.00111306831240654,1.0000001e-05,0.9033108949661255,0.8722682595252991,0.9992256164550781,0.35001882910728455,0.18775397539138794,0.0021518850699067116,0.6218094825744629,0.854300320148468
48,0.9995570778846741,0.3649718463420868,0.25627824664115906,0.001236115349456668,1.0000001e-05,0.8931695818901062,0.8531374335289001,0.9990962147712708,0.36703696846961975,0.1860763132572174,0.0025578972417861223,0.572773814201355,0.8799569010734558
49,0.9995929002761841,0.3532893657684326,0.2564334571361542,0.001135477563366294,1.0000001e-05,0.9088057279586792,0.8687323927879333,0.9990196228027344,0.3684939742088318,0.18154288828372955,0.0028456170111894608,0.5488972663879395,0.8855751752853394
