epoch,acc,dice_coef,iou,loss,lr,precision,recall,val_acc,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.9948118329048157,0.49776381254196167,0.3307490348815918,0.015398440882563591,0.001,0.6927198171615601,0.5769981741905212,0.9924628138542175,0.0995047464966774,0.06841761618852615,0.02508408948779106,0.7159857153892517,0.000785756972618401
1,0.9942310452461243,0.3611092269420624,0.2027188092470169,0.015106450766324997,0.001,0.6765583157539368,0.4432663321495056,0.9734630584716797,0.49127885699272156,0.08879189193248749,0.04818105325102806,0.12005287408828735,0.3991032540798187
2,0.9955093860626221,0.42207789421081543,0.2577454745769501,0.01140902005136013,0.001,0.7378519177436829,0.6072762608528137,0.9917841553688049,0.4358067214488983,0.17136649787425995,0.029880499467253685,0.4227641522884369,0.25093570351600647
3,0.9959898591041565,0.47088322043418884,0.3049345910549164,0.010043622925877571,0.001,0.7716935873031616,0.6883735060691833,0.9903245568275452,0.6270923614501953,0.22028400003910065,0.03914749622344971,0.3687033951282501,0.4009946882724762
4,0.9966332316398621,0.47139331698417664,0.31877049803733826,0.008923936635255814,0.001,0.8093075752258301,0.7272697687149048,0.9925878643989563,0.1612393707036972,0.054041218012571335,0.03008187748491764,0.6830778121948242,0.0282437726855278
5,0.997111976146698,0.49998655915260315,0.35749155282974243,0.00792617816478014,0.001,0.8451901078224182,0.7729249596595764,0.9935978651046753,0.5119693279266357,0.2557450234889984,0.021974625065922737,0.6212120652198792,0.382781058549881
6,0.9971677660942078,0.48915553092956543,0.3476746082305908,0.00753388274461031,0.001,0.8473649621009827,0.7667424082756042,0.9578840732574463,0.8728365898132324,0.12540751695632935,0.14168056845664978,0.11407450586557388,0.6793022751808167
7,0.9976052045822144,0.5164304971694946,0.38602906465530396,0.006570800207555294,0.001,0.8695835471153259,0.8141173124313354,0.9918826818466187,0.6446996331214905,0.29489925503730774,0.025701066479086876,0.4638966917991638,0.5051755905151367
8,0.9977390766143799,0.5350827574729919,0.40981659293174744,0.006167449988424778,0.001,0.8827624917030334,0.8302210569381714,0.9927393794059753,0.38241809606552124,0.08600768446922302,0.04074316844344139,0.6360400915145874,0.08243098855018616
9,0.9978721737861633,0.5335667133331299,0.40875518321990967,0.00582139054313302,0.001,0.8789803981781006,0.8399661183357239,0.9939700961112976,0.3972393274307251,0.21009621024131775,0.020562514662742615,0.7708370685577393,0.28284952044487
10,0.9977989792823792,0.5310801863670349,0.40414732694625854,0.005827087908983231,0.001,0.8720299601554871,0.8319762945175171,0.9939450025558472,0.42195552587509155,0.18495133519172668,0.028957193717360497,0.9482521414756775,0.20663729310035706
11,0.9981628060340881,0.5574765205383301,0.4330477714538574,0.0049841636791825294,0.001,0.8939579129219055,0.8585897088050842,0.9929612874984741,0.7730771899223328,0.36870718002319336,0.03212914243340492,0.5315960049629211,0.5449332594871521
12,0.9982345700263977,0.5477913022041321,0.4308462142944336,0.004786508157849312,0.001,0.8940232396125793,0.8608973026275635,0.9944457411766052,0.6027224063873291,0.32751452922821045,0.019901737570762634,0.6909171938896179,0.47401323914527893
13,0.9983048439025879,0.5551734566688538,0.439603716135025,0.004643043037503958,0.001,0.9015217423439026,0.8718094825744629,0.9924017786979675,0.7820561528205872,0.3564797341823578,0.031156888231635094,0.49560168385505676,0.5431418418884277
14,0.9984087347984314,0.5645894408226013,0.45154961943626404,0.004377484787255526,0.001,0.9117069840431213,0.8799065351486206,0.9944725036621094,0.7456194162368774,0.3802640438079834,0.024480942636728287,0.6781419515609741,0.5053431391716003
15,0.99837726354599,0.5625800490379333,0.44904977083206177,0.004376526456326246,0.001,0.9073260426521301,0.8734568357467651,0.9900768399238586,0.7541307210922241,0.2798290550708771,0.04525916650891304,0.3728925287723541,0.46727508306503296
16,0.9984372854232788,0.5748072862625122,0.4624374508857727,0.004277154337614775,0.001,0.9129960536956787,0.876697301864624,0.9948263764381409,0.7508431077003479,0.4095265567302704,0.02548936754465103,0.6996322274208069,0.5477867126464844
17,0.998460054397583,0.5709152817726135,0.4613068699836731,0.004238324239850044,0.001,0.9156467318534851,0.8811930418014526,0.9939009547233582,0.7232006788253784,0.3590551018714905,0.02973727136850357,0.6147359609603882,0.5076318383216858
18,0.9984327554702759,0.5781593322753906,0.46570736169815063,0.004213061183691025,0.001,0.9118923544883728,0.8775927424430847,0.9933243989944458,0.745576798915863,0.36541059613227844,0.02400992251932621,0.5561274290084839,0.5594105124473572
19,0.9985634684562683,0.6014053821563721,0.4922810196876526,0.0038672059308737516,0.001,0.9214649200439453,0.8938873410224915,0.993860125541687,0.7499790191650391,0.35321250557899475,0.0309052225202322,0.620783805847168,0.47341763973236084
20,0.9985819458961487,0.5852956175804138,0.47405126690864563,0.0037628202699124813,0.001,0.9178670644760132,0.889453113079071,0.9901627898216248,0.7938345074653625,0.29940736293792725,0.04192252457141876,0.3819993734359741,0.49711018800735474
21,0.9986887574195862,0.5945115089416504,0.4847812354564667,0.0035920243244618177,0.001,0.9215906262397766,0.8948755860328674,0.9942061305046082,0.6463068723678589,0.29856938123703003,0.027934454381465912,0.7033109664916992,0.397890567779541
22,0.9986894130706787,0.6077992916107178,0.500244677066803,0.0034940135665237904,0.001,0.9249993562698364,0.9007130265235901,0.9922524690628052,0.763207733631134,0.3380572497844696,0.03139093145728111,0.48616859316825867,0.5184482932090759
23,0.9987702965736389,0.6142997145652771,0.5143875479698181,0.0032959196250885725,0.000100000005,0.9261234402656555,0.9132519960403442,0.9945189356803894,0.733365535736084,0.36842069029808044,0.027337506413459778,0.7056731581687927,0.4659978449344635
24,0.9989522099494934,0.6113017797470093,0.5182045698165894,0.0027906368486583233,0.000100000005,0.9385782480239868,0.921515166759491,0.9943675398826599,0.744707465171814,0.3512769043445587,0.03093162551522255,0.7093409299850464,0.42606860399246216
25,0.99894779920578,0.6159833073616028,0.5258617997169495,0.002793782390654087,0.000100000005,0.9391782283782959,0.9206352829933167,0.9944860935211182,0.7597106695175171,0.3765200674533844,0.030177509412169456,0.6955416798591614,0.4753812253475189
26,0.9990164041519165,0.6249366998672485,0.5360270142555237,0.002624145708978176,0.000100000005,0.9414191246032715,0.9258100986480713,0.9944692254066467,0.7565364241600037,0.3602789044380188,0.031018387526273727,0.7141118049621582,0.4421796500682831
27,0.9990109801292419,0.6287519931793213,0.5390871167182922,0.002629846567288041,0.000100000005,0.9436661601066589,0.9269600510597229,0.9941228628158569,0.7826778888702393,0.36917275190353394,0.03220025449991226,0.6507620811462402,0.4726882874965668
28,0.9990015029907227,0.6298786401748657,0.5372747778892517,0.0026430257130414248,0.000100000005,0.9415572285652161,0.9244388341903687,0.9944899082183838,0.7420164942741394,0.35676366090774536,0.030284566804766655,0.7255372405052185,0.4308018684387207
29,0.9989872574806213,0.6394063234329224,0.5496086478233337,0.0026709900703281164,0.000100000005,0.942545473575592,0.9232484698295593,0.9946311712265015,0.787896990776062,0.3833065927028656,0.031069504097104073,0.7186723947525024,0.47092536091804504
30,0.9990134835243225,0.6384826898574829,0.5469010472297668,0.002615216188132763,0.000100000005,0.9434306621551514,0.9263010621070862,0.9944023489952087,0.7630382776260376,0.36727917194366455,0.030314398929476738,0.6948848962783813,0.4567534625530243
31,0.9990779757499695,0.6364914178848267,0.5485010147094727,0.0024252214934676886,0.000100000005,0.9455896615982056,0.9307644963264465,0.9944791793823242,0.7781872749328613,0.37339285016059875,0.031216278672218323,0.6965803503990173,0.4720514118671417
32,0.9990521669387817,0.644366443157196,0.5555317997932434,0.0024867041502147913,0.000100000005,0.9450802206993103,0.9308395385742188,0.993993878364563,0.7736181616783142,0.36368441581726074,0.03155830129981041,0.6358579993247986,0.47248703241348267
33,0.9990477561950684,0.6466440558433533,0.5596457719802856,0.0024994362611323595,1.0000001e-05,0.9460456371307373,0.9311116337776184,0.9936531782150269,0.7844836115837097,0.3599548041820526,0.03380219265818596,0.5975241661071777,0.4799330234527588
34,0.9990862011909485,0.6463750600814819,0.5600583553314209,0.002395502058789134,1.0000001e-05,0.9467013478279114,0.9335391521453857,0.9942590594291687,0.7835522294044495,0.3716169595718384,0.03172924369573593,0.6696200370788574,0.4681957960128784
35,0.9990560412406921,0.6433725953102112,0.5543366074562073,0.002455742796882987,1.0000001e-05,0.9457927942276001,0.9313428997993469,0.9945859909057617,0.774888277053833,0.37063807249069214,0.03113088570535183,0.730373740196228,0.4448370933532715
36,0.9990952014923096,0.6431648135185242,0.5564152598381042,0.002362871775403619,1.0000001e-05,0.9462884068489075,0.9311872124671936,0.9945268630981445,0.7793894410133362,0.3764880299568176,0.03136943653225899,0.7087821364402771,0.46291348338127136
37,0.9990565776824951,0.6522367596626282,0.5610033273696899,0.0024600194301456213,1.0000001e-05,0.9462104439735413,0.9310617446899414,0.9946897625923157,0.7874436378479004,0.3841395378112793,0.03095407225191593,0.7303066253662109,0.4668219983577728
38,0.9991374611854553,0.6389005184173584,0.5513049960136414,0.0022640014067292213,1.0000001e-05,0.948391854763031,0.9346197247505188,0.9940776824951172,0.7779591679573059,0.3589267432689667,0.03213876858353615,0.6521608829498291,0.4565039575099945
39,0.999088704586029,0.6429136991500854,0.5550526976585388,0.0023755549918860197,1.0000001e-05,0.9453646540641785,0.9304800629615784,0.9945524334907532,0.7826077938079834,0.3787444233894348,0.03070424310863018,0.7091840505599976,0.46803003549575806
40,0.9990968704223633,0.6428738236427307,0.5570021271705627,0.00236180960200727,1.0000001e-05,0.9477048516273499,0.9337789416313171,0.9945043325424194,0.7791492342948914,0.3705069422721863,0.03095368668437004,0.7104901075363159,0.4553418457508087
41,0.9991081953048706,0.6468630433082581,0.5602408647537231,0.0023232586681842804,1.0000001e-05,0.9469248056411743,0.934297502040863,0.9946222305297852,0.783811092376709,0.3751430809497833,0.031223822385072708,0.7273653745651245,0.45666739344596863
42,0.9990805983543396,0.6465836763381958,0.5585736632347107,0.002393969800323248,1.0000001e-05,0.9473207592964172,0.931544840335846,0.9943423271179199,0.790070116519928,0.3780514895915985,0.03223888576030731,0.6758103966712952,0.4771784245967865
43,0.9990729689598083,0.6550395488739014,0.5679289102554321,0.0024110330268740654,1.0000001e-06,0.946744441986084,0.9339726567268372,0.9944297075271606,0.7950046062469482,0.3837476074695587,0.03248453140258789,0.6838127970695496,0.483422189950943
44,0.9990594387054443,0.6472106575965881,0.5592377781867981,0.002442094264551997,1.0000001e-06,0.9448302388191223,0.9322340488433838,0.9940855503082275,0.7811274528503418,0.36522164940834045,0.032331470400094986,0.6476534008979797,0.4694666564464569
45,0.9990565776824951,0.6567520499229431,0.5685489773750305,0.0024558836594223976,1.0000001e-06,0.9465855360031128,0.9321292638778687,0.994601309299469,0.7885003685951233,0.38069844245910645,0.03154262900352478,0.7141284942626953,0.4713110029697418
46,0.9990354776382446,0.6562425494194031,0.5668853521347046,0.0025069895200431347,1.0000001e-06,0.944562554359436,0.9316831827163696,0.9946306347846985,0.7752499580383301,0.3722369968891144,0.03164803609251976,0.7359559535980225,0.4468564987182617
47,0.9990801811218262,0.6401932239532471,0.5518394708633423,0.0023971847258508205,1.0000001e-06,0.9454309940338135,0.9329138398170471,0.9945580363273621,0.7831281423568726,0.3748733699321747,0.0318460650742054,0.7193242907524109,0.4540233016014099
48,0.999106764793396,0.6336274147033691,0.5452929139137268,0.002340696519240737,1.0000001e-06,0.9453700184822083,0.931941568851471,0.994421124458313,0.776602029800415,0.3642773926258087,0.03269771486520767,0.7085393071174622,0.43948206305503845
49,0.999064564704895,0.650993824005127,0.5644046664237976,0.0024530929513275623,1.0000001e-06,0.9481877088546753,0.933291494846344,0.9940322041511536,0.7908895015716553,0.37253937125205994,0.03337612748146057,0.636286735534668,0.48326632380485535
50,0.9991179704666138,0.6436951756477356,0.556842565536499,0.002305088099092245,1.0000001e-06,0.9474208950996399,0.9331983923912048,0.9942726492881775,0.7891397476196289,0.37450966238975525,0.03234599903225899,0.6672786474227905,0.47649967670440674
51,0.9990795850753784,0.6462216377258301,0.5593110918998718,0.00237518223002553,1.0000001e-06,0.9470115900039673,0.9327354431152344,0.9944396018981934,0.7765692472457886,0.372714102268219,0.0312260203063488,0.6964818239212036,0.4629158079624176
52,0.9990420341491699,0.6547289490699768,0.5646945238113403,0.00248876609839499,1.0000001e-06,0.9445560574531555,0.9303123354911804,0.9944424629211426,0.7861674427986145,0.37270650267601013,0.03200281411409378,0.6962724328041077,0.46391502022743225
53,0.9990612268447876,0.6409326195716858,0.555144727230072,0.0024403047282248735,1.0000001e-07,0.9469774961471558,0.9310500621795654,0.9946942329406738,0.7875702381134033,0.38184043765068054,0.03146194666624069,0.734740138053894,0.4615629315376282
54,0.9990896582603455,0.6429305076599121,0.5562545657157898,0.0023763165809214115,1.0000001e-07,0.9464872479438782,0.931950569152832,0.9945321083068848,0.7862042188644409,0.37838515639305115,0.031547851860523224,0.7061442136764526,0.4683673679828644
55,0.9990938305854797,0.6434979438781738,0.5563396215438843,0.0023514062631875277,1.0000001e-07,0.9476998448371887,0.933230996131897,0.9941508769989014,0.787158727645874,0.3665600121021271,0.03271225839853287,0.6581809520721436,0.4635491967201233
56,0.9990929961204529,0.6501124501228333,0.5620012283325195,0.0023657677229493856,1.0000001e-07,0.9466427564620972,0.9317823052406311,0.9947002530097961,0.783941388130188,0.38485002517700195,0.030418964102864265,0.7268020510673523,0.4738602638244629
57,0.9990834593772888,0.6392946243286133,0.5529966354370117,0.0023916063364595175,1.0000001e-07,0.947529673576355,0.9335780143737793,0.9943845272064209,0.7916561365127563,0.3750894069671631,0.032484766095876694,0.6862387657165527,0.4675309956073761
58,0.9991031885147095,0.6463489532470703,0.5599507689476013,0.002326681511476636,1.0000001e-07,0.9505390524864197,0.9346382021903992,0.9942493438720703,0.7861878871917725,0.3693501055240631,0.03249024972319603,0.669752836227417,0.4654243588447571
59,0.9991111755371094,0.6472324132919312,0.5592098236083984,0.0023124825675040483,1.0000001e-07,0.9472805261611938,0.9344390034675598,0.9947014451026917,0.7671216726303101,0.3700573444366455,0.030414758250117302,0.748687207698822,0.4454716742038727
60,0.999060869216919,0.6512601971626282,0.5628255009651184,0.002449096878990531,1.0000001e-07,0.9476413726806641,0.9354797005653381,0.9942785501480103,0.7892458438873291,0.37326371669769287,0.03249160200357437,0.6715301275253296,0.469190388917923
