epoch,acc,dice_coef,iou,loss,lr,precision_6,recall_6,val_acc,val_dice_coef,val_iou,val_loss,val_precision_6,val_recall_6
0,0.9261383414268494,0.36832132935523987,0.10696519911289215,0.3777468800544739,1e-04,0.4819202721118927,0.6967239379882812,0.9409907460212708,0.24098630249500275,0.04372619837522507,0.3072156310081482,0.6996784210205078,0.02369830757379532
1,0.9697800874710083,0.31545934081077576,0.1529635637998581,0.2176402062177658,1e-04,0.9193027019500732,0.7072746753692627,0.971005916595459,0.32039546966552734,0.16384704411029816,0.20414884388446808,0.9545230269432068,0.7771674394607544
2,0.9722082018852234,0.3006998300552368,0.1697659194469452,0.17194297909736633,1e-04,0.942058801651001,0.6984975934028625,0.9688659906387329,0.2666209936141968,0.16629545390605927,0.16364146769046783,0.977186918258667,0.5788715481758118
3,0.9725342988967896,0.3001144528388977,0.19455468654632568,0.14126554131507874,1e-04,0.9562168717384338,0.6802923083305359,0.9725979566574097,0.333534836769104,0.23972655832767487,0.12605062127113342,0.9686448574066162,0.7068123817443848
4,0.9740565419197083,0.31542131304740906,0.2310783714056015,0.11428701877593994,1e-04,0.9676610827445984,0.6861850619316101,0.9694929122924805,0.30297863483428955,0.23498117923736572,0.1127585619688034,0.9928749799728394,0.5721719861030579
5,0.9742156267166138,0.34605151414871216,0.27570223808288574,0.0960349291563034,1e-04,0.9729431867599487,0.7037866115570068,0.9719844460487366,0.38659048080444336,0.306305468082428,0.09230536967515945,0.9435745477676392,0.7497654557228088
6,0.9751609563827515,0.34652870893478394,0.28663724660873413,0.08001015335321426,1e-04,0.9802210330963135,0.6852927207946777,0.9733418226242065,0.396079957485199,0.3403715491294861,0.07466116547584534,0.9726593494415283,0.7127609848976135
7,0.9740604758262634,0.3820532262325287,0.32890087366104126,0.06959361582994461,1e-04,0.9785581827163696,0.6879986524581909,0.9733200073242188,0.40558311343193054,0.3587546944618225,0.0665968731045723,0.9871848225593567,0.6802389025688171
8,0.9745377898216248,0.39618605375289917,0.35218778252601624,0.05768366530537605,1e-04,0.9866845011711121,0.6749535202980042,0.973774254322052,0.4563972055912018,0.41178977489471436,0.054336193948984146,0.9733344316482544,0.716684877872467
9,0.9762095212936401,0.42613106966018677,0.3893800377845764,0.04798968881368637,1e-04,0.9913867712020874,0.6914342641830444,0.9743854999542236,0.485817015171051,0.4460199773311615,0.04647801071405411,0.9860630035400391,0.7113139033317566
